image_path,relative_path,filename,denomination,note_generation,predicted_labels,classification_status,torn_evidence_score,folded_evidence_score,burnt_evidence_score,stain_evidence_score,human_Torn,human_Folded,human_Burnt,human_Stain,human_Normal,review_status,review_notes
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_1.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_1.jpg,10_new_1.jpg,10,new,Torn; Folded; Burnt,moderate_prediction,0.0011,0.0059,0.0047,-0.0006,1,1,0,1,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_10.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_10.jpg,10_new_10.jpg,10,new,Normal,strong_prediction,-0.0065,-0.0029,-0.0043,-0.0032,1,1,0,0,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_100.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_100.jpg,10_new_100.jpg,10,new,Normal,strong_prediction,-0.0167,-0.0126,-0.0083,-0.0125,1,1,0,0,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_101.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_101.jpg,10_new_101.jpg,10,new,Normal,strong_prediction,-0.0191,-0.0135,-0.01,-0.0142,1,1,0,0,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_12.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_12.jpg,10_new_12.jpg,10,new,Folded; Stain,moderate_prediction,-0.003,0.0033,0.0009,0.0013,1,1,0,1,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_13.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_13.jpg,10_new_13.jpg,10,new,Folded,strong_prediction,-0.0023,0.0058,0.0007,-0.0009,1,1,0,0,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_14.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_14.jpg,10_new_14.jpg,10,new,Torn; Folded; Burnt; Stain,moderate_prediction,0.0028,0.0036,0.0031,0.0046,1,1,0,1,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_19.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_19.jpg,10_new_19.jpg,10,new,Folded,strong_prediction,0.0002,0.0036,0.0005,-0.0004,1,1,0,1,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_196.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_196.jpg,10_new_196.jpg,10,new,Folded,strong_prediction,-0.0048,0.0035,-0.0053,-0.0144,1,1,0,1,0,verified,
C:\Users\Rithin\OneDrive\Desktop\Python Program\currency-note-recognition-with-vinit-module\clip_damage_classifier\data\extracted\Spoilt Indian Banknotes\Spoilt New Indian Bank Notes\New 10 Rupees\10_new_2.jpg,Spoilt Indian Banknotes/Spoilt New Indian Bank Notes/New 10 Rupees/10_new_2.jpg,10_new_2.jpg,10,new,Folded,uncertain,-0.0004,0.0005,-0.0009,-0.0013,1,1,0,1,0,verified,
