fold,category,status,fallback_applied,w_evidence,intercept,w_context,val_mean_threshold,val_min_threshold,val_max_threshold,val_std_threshold
0,Torn,nonpositive_w_evidence_-0.00732,True,-0.007324,2.515634,"[0.38496, -0.75787, 0.40334]",-0.0005,-0.0005,-0.0005,0.0
0,Folded,calibrated,False,0.02521,0.083343,"[0.85058, -0.4699, -0.07916]",0.000889,-0.008,0.008,0.00795
0,Burnt,fallback_v2_anchor_N4_limitation,True,0.0,0.0,"[0.0, 0.0, 0.0]",0.0038,0.0038,0.0038,0.0
0,Stain,calibrated,False,0.01218,0.403285,"[-0.66549, -0.39885, -0.08374]",-0.003556,-0.008,0.008,0.007166
1,Torn,calibrated,False,0.002909,2.261547,"[0.14377, -0.22369, 0.26901]",-0.008,-0.008,-0.008,0.0
1,Folded,calibrated,False,0.023717,0.078374,"[0.90199, -0.54504, 0.03466]",0.0,-0.008,0.008,0.008
1,Burnt,fallback_v2_anchor_N4_limitation,True,0.0,0.0,"[0.0, 0.0, 0.0]",0.0038,0.0038,0.0038,0.0
1,Stain,calibrated,False,0.019321,0.407806,"[-0.68599, -0.40102, -0.16355]",-0.004444,-0.008,0.008,0.006652
2,Torn,calibrated,False,0.001273,2.325845,"[0.12933, -0.46824, 0.45667]",-0.008,-0.008,-0.008,0.0
2,Folded,calibrated,False,0.012533,0.165077,"[1.11195, -0.76122, -0.09815]",-0.000889,-0.008,0.008,0.00795
2,Burnt,fallback_v2_anchor_N4_limitation,True,0.0,0.0,"[0.0, 0.0, 0.0]",0.0038,0.0038,0.0038,0.0
2,Stain,calibrated,False,0.01746,0.412596,"[-0.83852, -0.28544, -0.06395]",-0.003556,-0.008,0.008,0.007166
3,Torn,nonpositive_w_evidence_-0.00814,True,-0.008142,2.346224,"[0.28528, -0.41923, 0.1021]",-0.0005,-0.0005,-0.0005,0.0
3,Folded,calibrated,False,0.015601,0.139376,"[0.72653, -0.30435, -0.16987]",-0.000889,-0.008,0.008,0.00795
3,Burnt,fallback_v2_anchor_N4_limitation,True,0.0,0.0,"[0.0, 0.0, 0.0]",0.0038,0.0038,0.0038,0.0
3,Stain,calibrated,False,0.018447,0.408172,"[-0.53691, -0.20072, -0.15493]",-0.005333,-0.008,0.008,0.005963
4,Torn,nonpositive_w_evidence_-0.00277,True,-0.002767,2.180467,"[0.27713, -0.39031, 0.42073]",-0.0005,-0.0005,-0.0005,0.0
4,Folded,calibrated,False,0.021365,0.149889,"[0.91442, -0.49294, -0.05607]",0.001778,-0.008,0.008,0.0078
4,Burnt,fallback_v2_anchor_N4_limitation,True,0.0,0.0,"[0.0, 0.0, 0.0]",0.0038,0.0038,0.0038,0.0
4,Stain,calibrated,False,0.018575,0.476556,"[-0.8079, -0.38088, -0.17965]",-0.003556,-0.008,0.008,0.007166
